Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2/28/22,California,1.5909,19597278934,700000000,422803207.8,162528067.7,0,1,2022,2,2022,1,2,28
2/28/22,Colorado,1.5909,1013089861,100000000,0,8427573.27,0,2,2022,2,2022,1,2,28
2/28/22,Connecticut,1.5909,441869831.8,80000000,34793492.76,4476251.19,0,3,2022,2,2022,1,2,28
2/28/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,28
2/28/22,Illinois,1.5909,4512645003,147000000,0,37128924.8,0.55,5,2022,2,2022,1,2,28
2/28/22,Massachusetts,1.5909,2268015460,0,0,18853196.28,0,6,2022,2,2022,1,2,28
2/28/22,Minnesota,1.5909,1289539307,175000000,113356465.5,9448742.61,35056.4,7,2022,2,2022,1,2,28
2/28/22,New Jersey,1.5909,559365607.5,400000000,191989280,4182226.17,1.17,8,2022,2,2022,1,2,28
2/28/22,New York*,1.5909,9395872714,560000000,177192695.4,76742665.77,0,9,2022,2,2022,1,2,28
2/28/22,Pennsylvania,1.5909,756178499.4,100000000,123466487.5,6444839.63,0,10,2022,2,2022,1,2,28
2/28/22,Texas,1.5909,0,0,0,19767040.04,4895.4,11,2022,2,2022,1,2,28
2/28/22,Virgin Islands,1.5909,98777415.99,3000000,890370,798257.04,235.02,12,2022,2,2022,1,2,28
2/25/22,California,1.5909,19563590933,700000000,384450286.2,159969954.1,0,1,2022,2,2022,1,2,25
2/25/22,Colorado,1.5909,1013089861,100000000,0,8295102.86,0,2,2022,2,2022,1,2,25
2/25/22,Connecticut,1.5909,565732636.8,80000000,33656297.76,4400440.83,0,3,2022,2,2022,1,2,25
2/25/22,Hawaii,1.5909,0,65000000,0,19584.53,19584.53,4,2022,2,2022,1,2,25
2/25/22,Illinois,1.5909,4512645003,147000000,0,36538856.29,0.55,5,2022,2,2022,1,2,25
2/25/22,Massachusetts,1.5909,2268015460,0,0,18556633.01,0,6,2022,2,2022,1,2,25
2/25/22,Minnesota,1.5909,1287852033,175000000,111578465.5,9280344.51,35056.4,7,2022,2,2022,1,2,25
